"","num","title","content"
"52",66,"estp 남편 가진 istj 인데","         레디백좀 줄서서 구해달라고 부탁하니까미루고 미루다가 귀찮다고 동네 당근마켓에서 5.5에 3개 사서 나하나주고 친구한테 6.5에 두개 팔더라.        "
"53",67,"estp 남편 가진 istj 인데2","         남편 작년에 회사에 이거 입고다님.점심 메뉴 가끔 양말에 박아서 감.....        "
"54",68,"estp 남편 가진 istj 인데3","         고등학교 내내 반장하고 대학교 가서도 섹터장..고시공부 3년했는데 성격상 엉덩이 못붙이고 관둠.그러고 들어간 회사에서 빅마우스 역할 하느라 뭔일만 생기면 사람들이 남편한테 무슨일이냐고 채팅으로 물어봄.4년 살면서 취미 여러번 바뀜구둣방(정장구두 닦음.... 금강제화 5천번대, 7천번대..)피팅샵(골프채 일괄로 싸게파는거 사서 각개로 비싸게 팔거나 채 막대기? 딴걸로 바꿔서 팔고 그럼)치킨집(배틀그라운드....생각보다 이건 오래함)와갤러(와우 클래식 나왔을 때. 근데 이거도 한달하고 관둠)세차장(새차 사서 세차 엄청 함. 이때도 세차용품 사고팔고 사고팔고;;)튜닝(차 튜닝... 핸들 알칸타라로 바꾸기, 앰비언트, 머플러 교체, 프론트립 등... 자잘한거 바꿈)조기축구회(매주 토요일 밤에 풋살하러감)도박사(한달에 한번 친구들 집 돌아가면서 홀덤침)지금 생각나는건 이정도.        "
"55",69,"estp랑 어떻게 친해지닝?","어떻게 친해질수있어?"
"56",71,"MBTI  설문 참여해주세요 여러분","         https://forms.gle/YTWrY5EDvcRgtwqk9나중에 통계나옵니다        "
"57",72,"Estp칭구들 스릴넘치는거 뭐해봤어?","왜 우리가 경험주의자 이기도하고줄겁고 신나는데 스릴넘치면 더 좋자나약간 위험한데 그래서 더 궁금해서 해본거 있냐내주변은 다 범생이들밖에없는것같아서 "
"58",73,"여기 망했나요","글 별로 없을 것 같긴 했는데이 정도일 줄은 몰랐다 ㅋㅋㅋㅋㅋㅋㅋ"
"59",74,"estp들 원래 잠수 잘 타냐","지 꼴릴때만 연락하노"
"60",75,"estp가 현재에 산다는말이 뭔지 몰랐는데","그냥 만날때는 존나 잘놀다가도 안보면 연락 약속잡거나 물어볼거 없으면 연락은 절대 안하는듯 그냥 지금 주어진거 하기 바빠서ㅋㅋ 인간관계가 가벼운것도 이게 한몫하는듯  근데 먼저 연락이 오면 칼답하고 반갑게 대함 웃긴새끼들임  "
"61",77,"심심해서 조사해본 갤러리별 글수 ","1. Infp      112851 (73.36%)  2. Intp       11690   (7.60%)  3. Infj          8061   (5.24%)  4. Istp         6181   (4.02%)  5. Entp       5644   (3.67%)  6. Intj          4113   (2.67%)  7. Isfp         1934   (1.25%)  8. Isfj          1045   (0.68%)  9. Enfp         950   (0.62%)  10. Entj        517   (0.34%)  11. Istj         271   (0.18%)  12. Enfj        266   (0.18%)  13. Esfp       136   (0.09%)  14. Estp        75    (0.05%)  15. Esfj         42    (0.03%)  16. Estj         38    (0.03%)  7월 19일 13시 20분 기준  엣팁 뒤에서 3등이나되노 ㄷㄷ "
"62",80,"펜팔친구하실분 계신가요..?","저는 ESTJ인데 글쓰는거 좋아해서 손편지 주고받으실분 찾아요.. 성별이랑 나이는 상관없어요.. "
"63",83,"ㅠㅍ","         ㅠㅍ        "
"64",84,"아니 여러분들 빨리 글써줘요","         ㅡㅡ        "
"65",85,"나무위키 타고왔다.","MBTI 귀찮아서 안하다가 ENTP 나왔음나무위키 보다 왔는데 다 나같은 사람들이넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"66",86,"엣팁 갤러리가 있네","니네 진짜 다 술 빨러 나갔냐?"
"67",87,"저만 공감하나요","리더인데 이끄는건 싫어해ㅋㅋ"
"68",88,"ㅋㅋㅋㅏㄴ너ㆍㅇ","내친구 이건데 내가 얘 겁나좋아해서와봤엌ㅋㅋ좋은밤되라 난 entj"
"69",89,"안녕하세요 잇팁인데 엣팁되고싶어여","엣팁이 잇팁이랑 다른점읒 잇팁은 소극적이고 속으로만 생각하는걸 엣팁은 바로 즉시 행동으로 표현한달까? 존나 부럽네"
